TABLENAME,COLUMNNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
GF_TLR_DISBURSEMENTS,S_TYPE,L_SYMBOL,Disb Instance Type,ALIAS
GF_TLR_FLOOD_DETMN,NFIP_FLOOD_REV_TYPE,L_SYMBOL,NFIP Flood Rev Type,ALIAS
GF_TLR_FLOOD_DETMN,NFIP_STATUS_TYPE,L_SYMBOL,Flood NFIPStatusType,ALIAS
GF_TLR_FLOOD_REQUEST,ACTIONTYPE,L_SYMBOL,FloodReq Action Type,ALIAS
GF_TLR_FLOOD_REQUEST,S_FLDDET,L_SYMBOL,Fld Req Detrmn Type,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_LOAN_PRODUCT_TYPE,L_SYMBOL,HFH Loan ProductType,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_MORT_PROVIDER_TYPE,L_SYMBOL,HFH MortProviderType,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_SHARED_APPR,L_SYMBOL,HFH Shared Apprec,ALIAS
GF_TLR_INSURANCE,COVG_RESOLUTION,L_SYMBOL,Ins Covg Resolution,ALIAS
GF_TLR_INSURANCE,S_ESCINS,L_SYMBOL,Escrow Ins Type,ALIAS
GF_TLR_INSURANCE,S_INSTYPE,L_SYMBOL,Insurance Type,ALIAS
GF_TLR_INSURANCE,SECURED_PARTY_INS,L_SYMBOL,Secured Party Ins,ALIAS
GF_TLR_MI_APP_REQUEST,MI_CERTIFICATE_TYPE,L_SYMBOL,MI Certificate Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_COVERAGE_PLAN_TYPE,L_SYMBOL,MI Coverage Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_DURATION_TYPE,L_SYMBOL,MI Duration Code,ALIAS
GF_TLR_MI_APP_REQUEST,MI_INITIAL_PRM_AT_CLSNG_TYPE,L_SYMBOL,MI Initial Prem Typ,ALIAS
GF_TLR_MI_APP_REQUEST,MI_PREM_PAY_TYPE,L_SYMBOL,MIPremiumPaymentType,ALIAS
GF_TLR_MI_APP_REQUEST,MI_PREM_REFUND_TYPE,L_SYMBOL,MIPremiumRefund Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_PREMIUM_RATE_PLAN_TYPE,L_SYMBOL,MIPrem Rate Plan Typ,ALIAS
GF_TLR_MI_APP_REQUEST,MI_REDUCED_LOAN_DOC_TYPE,L_SYMBOL,MIReducedLoanDoc Typ,ALIAS
GF_TLR_MI_APP_REQUEST,MI_REQUEST_TYPE,L_SYMBOL,MI Request Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_SUB_PRIME_PROG_TYPE,L_SYMBOL,MISubPrimeProgramTyp,ALIAS
GF_TLR_MI_APP_REQUEST,MIAPPLICATIONTYPE,L_SYMBOL,MI Application Type,ALIAS
GF_TLR_MI_APP_REQUEST,RENEWAL_CALC_TYPE,L_SYMBOL,MI Renewal Calc Type,ALIAS
GF_TLR_MI_PREMIUM_TAX,CODE_TYPE,L_SYMBOL,MIPremiumTaxCodeType,ALIAS
GF_TLR_MI_RES_CONTACT_POINT,TYPE,L_SYMBOL,MI Res Cntct Pnt Typ,ALIAS
GF_TLR_MI_RESPONSE,MI_APPLICATION_TYPE,L_SYMBOL,MIApplicationType,ALIAS
GF_TLR_MI_RESPONSE,MI_CERTIFICATE_TYPE,L_SYMBOL,MICertificateType,ALIAS
GF_TLR_MI_RESPONSE,MI_DECISION_TYPE,L_SYMBOL,MIDecisionType,ALIAS
GF_TLR_MI_RESPONSE,MI_DURATION_TYPE,L_SYMBOL,MIDurationType,ALIAS
GF_TLR_MI_RESPONSE,MI_INITIAL_PREM_PAC_TYPE,L_SYMBOL,MIInitPremPrpdatClTy,ALIAS
GF_TLR_MI_RESPONSE,MI_PREMIUM_PAYMENT_TYPE,L_SYMBOL,MIPremiumPaymentType,ALIAS
GF_TLR_MI_RESPONSE,MI_PREMIUM_RATE_PLAN_TYPE,L_SYMBOL,MIPremiumRatePlanTyp,ALIAS
GF_TLR_MI_RESPONSE,MI_RENEWAL_CALCULATION_TYPE,L_SYMBOL,MIRenewalCalculation,ALIAS
GF_TLR_PROSPECT,LEADSTAT,L_SYMBOL,LeadStatus,ALIAS
GF_TLR_PROSPECT,PRIMTHCT,L_SYMBOL,PrimaryMethContact,ALIAS
GF_TLR_PROSPECT,ZONE,L_SYMBOL,GFE Time Zone,ALIAS
GF_TLR_REG_O,S_EMP_REGO_TYPE,L_SYMBOL,Emp Reg O Type,ALIAS
GF_TLR_REQ_CREDIT_DATA,ACTION_TYPE,L_SYMBOL,Req Credit Action Ty,ALIAS
GF_TLR_REQ_CREDIT_DATA,REPORT_TYPE,L_SYMBOL,Req Cred Report Type,ALIAS
GF_TLR_REQ_CREDIT_DATA,REQUEST_TYPE,L_SYMBOL,Req Crd Request Type,ALIAS
GF_TLR_REQ_CREDIT_INQRY_CMMNT,SOURCE_TYPE,L_SYMBOL,Req Cred Inq Source,ALIAS
GF_TLR_REQ_CREDIT_INQUIRY,CREDIT_BUSINESS_TYPE,L_SYMBOL,Req Cred Inq Bus Typ,ALIAS
GF_TLR_REQ_CREDIT_INQUIRY,INQUIRY_RESULT_TYPE,L_SYMBOL,Req Cred Inq Reslt,ALIAS
GF_TLR_REQ_CREDIT_INQUIRY_REP,SOURCE_TYPE,L_SYMBOL,Req Cred Inq Rep Src,ALIAS
GF_TLR_REQ_CREDIT_INQUIRY_VER,STATUS_TYPE,L_SYMBOL,Req Cred Inq Ver Typ,ALIAS
GF_TLR_REQ_CREDIT_LBLTY_CMMNT,SOURCE_TYPE,L_SYMBOL,Req Cred Lia Source,ALIAS
GF_TLR_REQ_CREDIT_LIAB_REP,SOURCE_TYPE,L_SYMBOL,Req Lia Reps Type,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,ACCOUNT_STATUS_TYPE,L_SYMBOL,Req Lia Ststus Date,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,ACCOUNT_TYPE,L_SYMBOL,Req Lia Account Type,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,CREDIT_BUSINESS_TYPE,L_SYMBOL,Req Lia Crdt Bus Typ,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,CREDIT_LOAN_TYPE,L_SYMBOL,Req Lia Crdt Loan Ty,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,CURRENT_RATING_TYPE,L_SYMBOL,Req Lia Rateing Type,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,OWNERSHIP_TYPE,L_SYMBOL,Req Lia Ownership Ty,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,RECENT_ADVERSE_TYPE,L_SYMBOL,Req Lia Rcnt Type,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,TERMS_SOURCE_TYPE,L_SYMBOL,Req Lia Terms Src Ty,ALIAS
GF_TLR_REQ_CREDIT_LIABILITY,VERIFY_STATUS_TYPE,L_SYMBOL,Req Lia Ver Stat Typ,ALIAS
GF_TLR_REQ_CREDIT_PUBLC_CMMNT,SOURCE_TYPE,L_SYMBOL,Req Cred Pub Source,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC,BK_TYPE,L_SYMBOL,Req Pub BK Type,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC,DESPOSITION_TYPE,L_SYMBOL,Req Pub Dspstn Type,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC,PAYMENT_FREQ_TYPE,L_SYMBOL,Req Pub Pymnt Frq Ty,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC,PUBLIC_REC_TYPE,L_SYMBOL,Req Pub Rcrd Type,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC,VER_STATUS_TYPE,L_SYMBOL,Req Pub Ver Stts Typ,ALIAS
GF_TLR_REQ_CREDIT_PUBLIC_REP,SOURCE_TYPE,L_SYMBOL,Req Pub Reps Type,ALIAS
GF_TLR_REQ_LIAB_CONTACT_POINT,CONTACT_TYPE,L_SYMBOL,Req Lia Crd Cnt Type,ALIAS
GF_TLR_REQ_LIAB_CONTACT_POINT,ROLE_TYPE,L_SYMBOL,Req Lia Crd Cnt Role,ALIAS
GF_TLR_REQ_LIAB_PRIOR_ADV,TYPE,L_SYMBOL,Req Lia Pri Adv Type,ALIAS
GF_TLR_REQ_SCORE_MODEL,MODEL_TYPE,L_SYMBOL,Req Score Model Type,ALIAS
GF_TLR_RES_BORROWER,MARTIAL_STATUS_TYPE,L_SYMBOL,Res Brwr Marital Typ,ALIAS
GF_TLR_RES_BORROWER,PRINT_POSITION_TYPE,L_SYMBOL,Res Brwr Print Pos,ALIAS
GF_TLR_RES_BUREAU_CONTACT_PNT,CONTACT_TYPE,L_SYMBOL,Req Lia Crd Cnt Type,ALIAS
GF_TLR_RES_BUREAU_CONTACT_PNT,ROLE_TYPE,L_SYMBOL,Req Lia Crd Cnt Role,ALIAS
GF_TLR_RES_CREDIT_DATA,ACTION_TYPE,L_SYMBOL,Res Credit Action Ty,ALIAS
GF_TLR_RES_CREDIT_DATA,REPORT_TYPE,L_SYMBOL,Res Cred Report Type,ALIAS
GF_TLR_RES_CREDIT_DATA,REQUEST_TYPE,L_SYMBOL,Res Crd Request Type,ALIAS
GF_TLR_RES_CREDIT_FILE,S_RESULTSTATUSTYPE,L_SYMBOL,CF_ResultStatusType,ALIAS
GF_TLR_RES_CREDIT_FILE_ALRT,S_CATAGORYTYPE,L_SYMBOL,CFA_CatagoryType,ALIAS
GF_TLR_RES_CREDIT_INQRY_CMNT,SOURCE_TYPE,L_SYMBOL,Res Cred Inq Source,ALIAS
GF_TLR_RES_CREDIT_INQUIRY,CREDIT_BUSINESS_TYPE,L_SYMBOL,Res Cred Inq Bus Typ,ALIAS
GF_TLR_RES_CREDIT_INQUIRY,INQUIRY_RESULT_TYPE,L_SYMBOL,Res Cred Inq Reslt,ALIAS
GF_TLR_RES_CREDIT_INQUIRY_REP,SOURCE_TYPE,L_SYMBOL,Res Cred Inq Rep Src,ALIAS
GF_TLR_RES_CREDIT_INQUIRY_VER,STATUS_TYPE,L_SYMBOL,res Cred Inq Ver Typ,ALIAS
GF_TLR_RES_CREDIT_LBLTY_CMNT,SOURCE_TYPE,L_SYMBOL,Res Cred Lia Source,ALIAS
GF_TLR_RES_CREDIT_LIAB_REP,SOURCE_TYPE,L_SYMBOL,Res Lia Reps Type,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,ACCOUNT_STATUS_TYPE,L_SYMBOL,res Lia Ststus Date,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,ACCOUNT_TYPE,L_SYMBOL,res Lia Account Type,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,CREDIT_BUSINESS_TYPE,L_SYMBOL,res Lia Crdt Bus Typ,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,CREDIT_LOAN_TYPE,L_SYMBOL,res Lia Crdt Loan Ty,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,CURRENT_RATING_TYPE,L_SYMBOL,res Lia Rateing Type,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,HIGHEST_ADVERSE_TYPE,L_SYMBOL,res Lia Highest Type,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,OWNERSHIP_TYPE,L_SYMBOL,res Lia Ownership Ty,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,RECENT_ADVERSE_TYPE,L_SYMBOL,res Lia Rcnt Type,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,TERMS_SOURCE_TYPE,L_SYMBOL,res Lia Terms Src Ty,ALIAS
GF_TLR_RES_CREDIT_LIABILITY,VERIFY_STATUS_TYPE,L_SYMBOL,res Lia Ver Stat Typ,ALIAS
GF_TLR_RES_CREDIT_PBLC_CMNT,SOURCE_TYPE,L_SYMBOL,Res Cred Pub Source,ALIAS
GF_TLR_RES_CREDIT_PUBLIC,BK_TYPE,L_SYMBOL,Res Pub BK Type,ALIAS
GF_TLR_RES_CREDIT_PUBLIC,DESPOSITION_TYPE,L_SYMBOL,Res Pub Dspstn Type,ALIAS
GF_TLR_RES_CREDIT_PUBLIC,PAYMENT_FREQ_TYPE,L_SYMBOL,Res Pub Pymnt Frq Ty,ALIAS
GF_TLR_RES_CREDIT_PUBLIC,PUBLIC_REC_TYPE,L_SYMBOL,Res Pub Rcrd Type,ALIAS
GF_TLR_RES_CREDIT_PUBLIC,VER_STATUS_TYPE,L_SYMBOL,Res Pub Ver Stts Typ,ALIAS
GF_TLR_RES_CREDIT_PUBLIC_REP,SOURCE_TYPE,L_SYMBOL,Res Pub Reps Type,ALIAS
GF_TLR_RES_FLD_FC_PNT,CONTACT_TYPE,L_SYMBOL,FloodRes FulCnt Type,ALIAS
GF_TLR_RES_FLD_FC_PNT,ROLE_TYPE,L_SYMBOL,FloodRes FulCnt Role,ALIAS
GF_TLR_RES_FLOOD_PROP,PROP_LEGAL_DES_TYPE,L_SYMBOL,Prop Legal Des Type,ALIAS
GF_TLR_RES_FLOOD_PROP,PROP_TITLE_CAT_TYPE,L_SYMBOL,Prop Title Cat Type,ALIAS
GF_TLR_RES_LANDLORD,VERIFY_STATUS_TYPE,L_SYMBOL,Res Lndlrd Ver Stat,ALIAS
GF_TLR_RES_LANDLORD_CNTCT_PNT,CONTACT_TYPE,L_SYMBOL,Res Lndlrd Cnt Type,ALIAS
GF_TLR_RES_LANDLORD_CNTCT_PNT,ROLE_TYPE,L_SYMBOL,Res Lndlrd Cnt Role,ALIAS
GF_TLR_RES_LIAB_CONTACT_POINT,CONTACT_TYPE,L_SYMBOL,Res Lia Crd Cnt Type,ALIAS
GF_TLR_RES_LIAB_CONTACT_POINT,ROLE_TYPE,L_SYMBOL,Res Lia Crd Cnt Role,ALIAS
GF_TLR_RES_LIAB_PRIOR_ADV,TYPE,L_SYMBOL,Res Lia Pri Adv Type,ALIAS
GF_TLR_RES_REQ_PARTY_CNTCT_PNT,CONTACT_TYPE,L_SYMBOL,Res Req Prt Cnt Type,ALIAS
GF_TLR_RES_REQ_PARTY_CNTCT_PNT,ROLE_TYPE,L_SYMBOL,Res Req Prty Cnt Rol,ALIAS
GF_TLR_RES_RESIDENCE,RENT_RATING_TYPE,L_SYMBOL,Res Brwr Rnt Rtng Ty,ALIAS
GF_TLR_RES_RESIDENCE,RESIDENCY_BASIS_TYPE,L_SYMBOL,Res Brwr Residency T,ALIAS
GF_TLR_RES_RESIDENCE,RESIDENCY_TYPE,L_SYMBOL,Res Brwr Rsdn Type,ALIAS
GF_TLR_RES_SCORE_MODEL,MODEL_TYPE,L_SYMBOL,Res Score Model Type,ALIAS
GF_TLR_RSP_LP_LOANFDBCK,S_CRWELIGIBILITYTYPE,L_SYMBOL,CRandWRelifeStaus,ALIAS
GF_TLR_SERVICE_PAYMENT,PAYMENT_METHOD_TYPE,L_SYMBOL,Req Paymnt Meth Type,ALIAS
GF_TLR_TAXITEMS,S_ESCTAX,L_SYMBOL,Escrow Tax Type,ALIAS
GF_TLR_TAXITEMS,S_TAXTYPE,L_SYMBOL,Tax Type,ALIAS
GF_TLR_TAXITEMS,SFREQUENCY,L_SYMBOL,Tax Frequency,ALIAS
GF_TLR_TITLE_ENDORSEMENT,S_TTLEND_INFO,L_SYMBOL,Ttl Endorsement Info,ALIAS
GF_TLR_TITLE_ENDORSEMENT,TTLEND_SOURCE_TYPE,L_SYMBOL,teSourceType,ALIAS
GF_TLR_TL_FUL_CNTS,S_TYPE,L_SYMBOL,FullfillmentConType,ALIAS
GF_TRACKING,S_ITEM,L_SYMBOL,Tracking_Item,ALIAS
GF_TRACKING,S_STATUS,L_SYMBOL,Tracking_Status,ALIAS
GF_TS_ASSIST_PROGRAMS,S_AP_ASSIST_TYPE,L_SYMBOL,AP Assist Type,ALIAS
GF_TS_ASSIST_PROGRAMS,S_AP_RATE_TYPE,L_SYMBOL,AP Rate Type,ALIAS
GF_TS_CMS_ACCNTING,S_CLOSTYPE,L_SYMBOL,CMS Closing Type,ALIAS
GF_TS_CMS_ACCNTING,S_SELLCL,L_SYMBOL,CMS Sell Cls Ln Stat,ALIAS
GF_TS_CMS_APPROVAL,S_APRV_LEVEL,L_SYMBOL,CMS Aprv Level,ALIAS
GF_TS_CMS_APPROVAL,S_APRV_STATUS,L_SYMBOL,CMS Aprv Status,ALIAS
GF_TS_CMS_APPROVAL,S_EOGENDER,L_SYMBOL,CMS Aprv EO Gender,ALIAS
GF_TS_CMS_APPROVAL,S_EORACE,L_SYMBOL,CMS Aprv EO Race,ALIAS
GF_TS_CMS_APPROVAL_DTL,S_APPRSTAT,L_SYMBOL,CMS Apv Aprvl Status,ALIAS
GF_TS_CMS_BROKER,S_BRKTYP,L_SYMBOL,CMS Broker Type,ALIAS
GF_TS_CMS_BROKER,S_ENTITY_TYPE,L_SYMBOL,Broker Entity Type,ALIAS
GF_TS_CMS_BROKER,S_OWNERSHIP,L_SYMBOL,CMS Ownership,ALIAS
GF_TS_CMS_BROKER,S_RTSHT,L_SYMBOL,CMS Rate Sheet,ALIAS
GF_TS_CMS_CONTACT_ADDRESS,S_ADDRTYPE,L_SYMBOL,CMSAddressType,ALIAS
GF_TS_CMS_CONTACT_ADDRESS,S_CMSADR_UNIT_TYPE,L_SYMBOL,CMSADR Unit Type,ALIAS
GF_TS_CMS_CONTACT_EMAIL,S_EMAILTYPE,L_SYMBOL,CMSEmailType,ALIAS
GF_TS_CMS_CONTACT_INFO,S_CMSSTATUS,L_SYMBOL,CMSStatus,ALIAS
GF_TS_CMS_CONTACT_INFO,S_TITLE,L_SYMBOL,CMSTitle,ALIAS
GF_TS_CMS_CONTACT_PHONE,S_PHONETYPE,L_SYMBOL,CMSPhoneType,ALIAS
GF_TS_CMS_CONTACT_TYPE,S_CMSTYPE,L_SYMBOL,CMSType,ALIAS
GF_TS_CMS_CONTACT_URL,S_URLTYPE,L_SYMBOL,CMSURLType,ALIAS
GF_TS_CMS_COST_CENTERS,S_COST_CENTER,L_SYMBOL,CMS Cost Ctr Type,ALIAS
GF_TS_CMS_INFOBYTYPE,S_CMSTYPE,L_SYMBOL,CMSType,ALIAS
GF_TS_CMS_INFOBYTYPE,S_GRADE,L_SYMBOL,CMS Info Grade,ALIAS
GF_TS_CMS_INFOBYTYPE,S_STATUS,L_SYMBOL,CMS Status by Type,ALIAS
GF_TS_CMS_INFOBYTYPE,S_TYPE_OF_COMPANY,L_SYMBOL,CMS Type of Company,ALIAS
GF_TS_CMS_LENDER,LENDERSTCODE,L_SYMBOL,LenderStCode,ALIAS
GF_TS_CMS_LENDING_GUIDES,S_GUIDELINE_TYPE,L_SYMBOL,CSG Guide Type,ALIAS
GF_TS_CMS_MONITOR,S_MONSTATUS,L_SYMBOL,Monstat Status,ALIAS
GF_TS_CMS_ORG_DATA,S_BRANCH_TYPE,L_SYMBOL,CMS Branch Type,ALIAS
GF_TS_CMS_REGION_PRICE_DATA,S_PRICING_REGION_C,L_SYMBOL,CMS Reg PricingReg C,ALIAS
GF_TS_CMS_REGION_PRICE_DATA,S_PRICING_TIER_C,L_SYMBOL,CMS Reg PricingTierC,ALIAS
GF_TS_CMS_REMARKS,S_REMCATEGORY,L_SYMBOL,CMS Remarks Category,ALIAS
GF_TS_CMS_REMARKS,S_REMTYPE,L_SYMBOL,CMS Remarks Type,ALIAS
GF_TS_CMS_STSLICNS,S_CLSCD,L_SYMBOL,Class Code,ALIAS
GF_TS_CMS_STSLICNS,S_STAT,L_SYMBOL,Stlic Status,ALIAS
GF_TS_CMS_WHLINE,S_WHL_STATUS,L_SYMBOL,CWH Line Status,ALIAS
GF_TS_CMS_WIREINFO,S_ACCTSTAT,L_SYMBOL,CMS Wire Acct Stat,ALIAS
GF_TS_COMMITMENT,LOAN_TYP,L_SYMBOL,Loan Type,ALIAS
GF_TS_INDEX_VALUE,S_INDEX,L_SYMBOL,Setup Index,ALIAS
GF_TS_LMS_LEAD_INFO,S_MKT_CAMPAIGN,L_SYMBOL,Lead Market Campaign,ALIAS
GF_TS_MESSAGE,S_MSGTYPE,L_SYMBOL,Message Type,ALIAS
GF_TS_MESSAGE,S_RECIPIENTTYPE,L_SYMBOL,Recipient Type,ALIAS
GF_TS_RATE_SUBSIDY_INFO,S_BUSCHNL,L_SYMBOL,Business Channel,ALIAS
GF_TS_WF_GROUP_USER,S_PROC_GROUP,L_SYMBOL,WFS PROC GROUP,ALIAS
GF_TS_WF_GROUP_USER,S_USER_TYPE,L_SYMBOL,WF GU User Type,ALIAS
GF_TS_WF_PROC_GROUP,S_DIST_METHOD,L_SYMBOL,WF PG Dist Method,ALIAS
GF_TS_WF_PROC_GROUP,S_GROUP_TYPE,L_SYMBOL,WFS GROUP TYPE,ALIAS
GF_TS_WF_PROCESS,S_PROCESS,L_SYMBOL,WFS PROCESS,ALIAS
GF_TS_WF_PROCESS_MODEL,S_PROCESS_MODEL,L_SYMBOL,WFS PROCESS MODEL,ALIAS
GF_TS_WF_USER_SCHED_EXCP,S_EXCEPTION_TYPE,L_SYMBOL,WF USE Excp Type,ALIAS
GF_TS_WF_WORKTYPE,S_REASSIGN_RULE,L_SYMBOL,WFS REASSIGN RULE,ALIAS
GF_TS_WF_WORKTYPE,S_USERINTERFACE,L_SYMBOL,Activities,ALIAS
GF_TS_WF_WORKTYPE,S_WORKTYPE,L_SYMBOL,WFS WORKTYPE,ALIAS
GF_TS_WF_WORKTYPE,S_WT_TYPE,L_SYMBOL,WFS WORKTYPE TYPE,ALIAS
GF_TSR_PNP_IPG_BASE,S_ASSUMABILITY_FEATURE,L_SYMBOL,AssumFeatureCode,ALIAS
GF_TSR_PNP_IPG_BASE,S_AUS_INDICATOR,L_SYMBOL,IPG_AUSIndicator,ALIAS
GF_TSR_PNP_IPG_BASE,S_BUYDWN_CNTRBTR,L_SYMBOL,Buydown Contributor,ALIAS
GF_TSR_PNP_IPG_BASE,S_CONST_PROGRAM,L_SYMBOL,ConstProgram,ALIAS
GF_TSR_PNP_IPG_BASE,S_IPG_BUYDWN,L_SYMBOL,Buydown,ALIAS
GF_TSR_PNP_IPG_BASE,S_LOANFIT_AMT_GROUP,L_SYMBOL,LoanFit Amt Grp,ALIAS
GF_TSR_PNP_IPG_BASE,S_LOANFIT_LIEN_CAT,L_SYMBOL,LoanFit Lien Cat,ALIAS
GF_TSR_PNP_IPG_BASE,S_LOANFIT_LTV_GROUP,L_SYMBOL,LoanFit LTV Grp,ALIAS
GF_TSR_PNP_IPG_BASE,S_LOANFIT_PROD_CAT,L_SYMBOL,LoanFit Product Cat,ALIAS
GF_TSR_PNP_IPG_BASE,S_LOANFIT_PURP_CAT,L_SYMBOL,LoanFit Purpose,ALIAS
GF_TSR_PNP_IPG_BASE,S_SERVICE_TYPE_IND,L_SYMBOL,USIPPServiceTypeInd,ALIAS
GF_TSR_PNP_IPG_BASE,S_SPEC_PRG,L_SYMBOL,IPG_SpecialProgram,ALIAS
GF_TSR_PNP_IPG_BASE_SLR,S_LIMIT_TYPE,L_SYMBOL,IPGS Limit Type,ALIAS
GF_TW_WF_ACTION_MGR,S_ACTION_RESOLUTION,L_SYMBOL,WFS RESOLUTION,ALIAS
GF_TW_WF_ACTION_MGR,S_PROC_GROUP,L_SYMBOL,WFS PROC GROUP,ALIAS
GF_TW_WF_ACTION_MGR,S_PROC_MDL_RESOLUTION,L_SYMBOL,WFS PM RESOLUTION,ALIAS
GF_TW_WF_ACTION_MGR,S_WORKTYPE,L_SYMBOL,WFS WORKTYPE,ALIAS
GF_TW_WF_PROC_MODEL_MGR,S_PROC_GROUP,L_SYMBOL,WFS PROC GROUP,ALIAS
GF_TW_WF_PROC_MODEL_MGR,S_PROC_MDL_MGR_RESOLUTION,L_SYMBOL,WFS PM RESOLUTION,ALIAS
GF_TW_WF_PROC_MODEL_MGR,S_PROCESS_MODEL,L_SYMBOL,WFS PROCESS MODEL,ALIAS
GF_TW_WF_PROCESS_MGR,S_PROC_GROUP,L_SYMBOL,WFS PROC GROUP,ALIAS
GF_TW_WF_PROCESS_MGR,S_PROCESS,L_SYMBOL,WFS PROCESS,ALIAS
GIFT,S_GIFTSOURCETYPE,L_SYMBOL,Gift Source Type,ALIAS
GIFT,S_TYPE,L_SYMBOL,Gift Type,ALIAS
HELOC,S_FUNDS_TO_BE_DRAWN,L_SYMBOL,Fnds_ToBe_DrwnBy,ALIAS
HELOC,S_LOCTYPE,L_SYMBOL,Line Of Credit Type,ALIAS
HELOC,S_REPAYMENT_METHOD,L_SYMBOL,HeRepaymentMethod,ALIAS
HELOC2,S_RTC_TYPE,L_SYMBOL,HELOC RTC Type,ALIAS
HMDAINFO,REPORTABLEYROVR,L_SYMBOL,HMDA Report Override,ALIAS
HMDAXPRT,S_CUSTOMQRY,L_SYMBOL,Custom Filter Name,ALIAS
HUD54111,S_ENDORAUTH,L_SYMBOL,Endorsement Auth,ALIAS
HUD54111,S_ENDORSEMENT,L_SYMBOL,Endorsement Status,ALIAS
HUD54111,S_FHA_PROGRAMID,L_SYMBOL,FHA Program ID,ALIAS
IMPRVMTS,IMPDES,L_SYMBOL,Imprv Description,ALIAS
INCOME,S_INCOME,L_SYMBOL,Income Type,ALIAS
